num_languages,num_words,hidden_size,train_frac,init_scale,seed,test_loss,train_loss
10,32,32,0.201,0.01,0,38.5367,9.0453966e-07
10,32,32,0.211,0.01,0,28.578234,9.322572e-07
10,32,32,0.221,0.01,0,23.28764,9.912835e-07
10,32,32,0.231,0.01,0,15.722139,9.988482e-07
10,32,32,0.241,0.01,0,17.35631,9.685788e-07
10,32,32,0.251,0.01,0,18.388626,9.565285e-07
10,32,32,0.261,0.01,0,7.8654976,9.261345e-07
10,32,32,0.271,0.01,0,8.79284,9.816415e-07
10,32,32,0.281,0.01,0,4.9073005,9.691545e-07
10,32,32,0.291,0.01,0,4.243937,9.961242e-07
10,32,32,0.301,0.01,0,3.3137026,9.709693e-07
10,32,32,0.311,0.01,0,4.211283,9.786735e-07
10,32,32,0.321,0.01,0,3.4722264,9.847686e-07
10,32,32,0.331,0.01,0,5.828355,9.832282e-07
10,32,32,0.341,0.01,0,2.79773,9.896744e-07
10,32,32,0.351,0.01,0,0.663394,9.874246e-07
10,32,32,0.201,0.001,0,68.83738,1.3137992e-08
10,32,32,0.211,0.001,0,173.57307,6.1849545e-07
10,32,32,0.221,0.001,0,147.94592,3.7276948e-07
10,32,32,0.231,0.001,0,109.15138,1.5781763e-08
10,32,32,0.241,0.001,0,95.208046,3.8407856e-07
10,32,32,0.251,0.001,0,74.69177,3.1051343e-07
10,32,32,0.261,0.001,0,157.2259,7.377658e-07
10,32,32,0.271,0.001,0,116.4059,5.358847e-07
10,32,32,0.281,0.001,0,17.743187,3.8495733e-07
10,32,32,0.291,0.001,0,30.258755,4.2253472e-08
10,32,32,0.301,0.001,0,1.5632898e-09,1.077313e-10
10,32,32,0.311,0.001,0,147.51021,1.0486151e-07
10,32,32,0.321,0.001,0,166.04335,1.8038644e-07
10,32,32,0.331,0.001,0,193.82759,7.508925e-08
10,32,32,0.341,0.001,0,4.3017706e-10,4.8156826e-11
10,32,32,0.351,0.001,0,2.9705016e-10,2.5285577e-11
10,32,32,0.201,0.0001,0,313.69177,2.9058657e-07
10,32,32,0.211,0.0001,0,231.98785,9.363727e-07
10,32,32,0.221,0.0001,0,1365.7844,5.023504e-07
10,32,32,0.231,0.0001,0,14.026137,2.496248e-10
10,32,32,0.241,0.0001,0,571.8141,1.2309084e-07
10,32,32,0.251,0.0001,0,960.6223,9.238504e-07
10,32,32,0.261,0.0001,0,1788.8177,3.3710833e-07
10,32,32,0.271,0.0001,0,1056.1171,8.4307294e-07
10,32,32,0.281,0.0001,0,7.582303e-09,7.4226264e-10
10,32,32,0.291,0.0001,0,2.706594e-06,3.3168192e-07
10,32,32,0.301,0.0001,0,4.4298298e-10,5.6975463e-11
10,32,32,0.311,0.0001,0,1.0757351e-09,1.4251883e-10
10,32,32,0.321,0.0001,0,2.6854774e-10,4.199263e-11
10,32,32,0.331,0.0001,0,2.1775515e-10,3.6147356e-11
10,32,32,0.341,0.0001,0,1.8468012e-10,3.4757034e-11
10,32,32,0.351,0.0001,0,2.0639124e-10,3.6655477e-11
10,32,32,0.201,0.01,1,16.398682,7.769513e-07
10,32,32,0.211,0.01,1,14.770205,7.2698197e-07
10,32,32,0.221,0.01,1,19.337101,7.3990725e-07
10,32,32,0.231,0.01,1,7.5060153,9.226096e-07
10,32,32,0.241,0.01,1,4.525765,8.974703e-07
10,32,32,0.251,0.01,1,3.607251,9.07982e-07
10,32,32,0.261,0.01,1,2.6107664,9.02822e-07
10,32,32,0.271,0.01,1,2.4624975,9.543629e-07
10,32,32,0.281,0.01,1,1.4178854,9.278305e-07
10,32,32,0.291,0.01,1,0.36906388,8.8606464e-07
10,32,32,0.301,0.01,1,0.9222968,9.997075e-07
10,32,32,0.311,0.01,1,1.2586462,9.0655755e-07
10,32,32,0.321,0.01,1,1.3004788,9.3569474e-07
10,32,32,0.331,0.01,1,0.8781131,9.83757e-07
10,32,32,0.341,0.01,1,0.513239,9.905984e-07
10,32,32,0.351,0.01,1,0.1177627,9.921091e-07
10,32,32,0.201,0.001,1,38.102074,1.757979e-07
10,32,32,0.211,0.001,1,11.847663,2.1163788e-09
10,32,32,0.221,0.001,1,46.908546,4.9298177e-07
10,32,32,0.231,0.001,1,19.722471,8.8145765e-07
10,32,32,0.241,0.001,1,6.0061207,9.608402e-07
10,32,32,0.251,0.001,1,10.6286335,1.602104e-07
10,32,32,0.261,0.001,1,2.7898579,9.1941854e-07
10,32,32,0.271,0.001,1,7.8327804e-07,2.2597792e-08
10,32,32,0.281,0.001,1,4.801643e-07,1.2204653e-08
10,32,32,0.291,0.001,1,1.1711877e-07,5.416091e-09
10,32,32,0.301,0.001,1,4.185089e-08,1.6241415e-09
10,32,32,0.311,0.001,1,5.136617e-07,2.2969939e-08
10,32,32,0.321,0.001,1,1.3988213e-07,7.622227e-09
10,32,32,0.331,0.001,1,41.00034,1.8283909e-07
10,32,32,0.341,0.001,1,69.44526,9.884825e-07
10,32,32,0.351,0.001,1,4.66882e-09,2.7607225e-10
10,32,32,0.201,0.0001,1,201.30807,1.1169756e-07
10,32,32,0.211,0.0001,1,11.848338,1.3114151e-09
10,32,32,0.221,0.0001,1,137.56055,2.8180622e-07
10,32,32,0.231,0.0001,1,203.93175,9.492698e-07
10,32,32,0.241,0.0001,1,146.46796,6.07929e-07
10,32,32,0.251,0.0001,1,7.732269e-10,6.844985e-11
10,32,32,0.261,0.0001,1,209.79369,6.9259505e-07
10,32,32,0.271,0.0001,1,2.617691e-07,2.3767347e-08
10,32,32,0.281,0.0001,1,6.997949e-09,6.061574e-10
10,32,32,0.291,0.0001,1,4.3300144e-10,5.3098e-11
10,32,32,0.301,0.0001,1,3.014428e-10,4.190994e-11
10,32,32,0.311,0.0001,1,1.3771319e-08,1.6275123e-09
10,32,32,0.321,0.0001,1,3.1157768e-10,4.4088067e-11
10,32,32,0.331,0.0001,1,3.0066447e-10,4.2244135e-11
10,32,32,0.341,0.0001,1,2.8934602e-10,4.237677e-11
10,32,32,0.351,0.0001,1,2.65898e-10,4.2523648e-11
10,32,32,0.201,0.01,2,25.4781,8.147334e-07
10,32,32,0.211,0.01,2,23.734552,8.7690415e-07
10,32,32,0.221,0.01,2,24.50804,8.7794325e-07
10,32,32,0.231,0.01,2,13.528567,8.576977e-07
10,32,32,0.241,0.01,2,10.078219,9.729633e-07
10,32,32,0.251,0.01,2,7.0446234,9.2646695e-07
10,32,32,0.261,0.01,2,3.835334,9.027621e-07
10,32,32,0.271,0.01,2,3.4046757,9.711368e-07
10,32,32,0.281,0.01,2,1.1483319,9.863728e-07
10,32,32,0.291,0.01,2,1.3969588,9.940978e-07
10,32,32,0.301,0.01,2,0.6042306,9.793062e-07
10,32,32,0.311,0.01,2,0.69122696,9.684652e-07
10,32,32,0.321,0.01,2,2.6140196,9.842407e-07
10,32,32,0.331,0.01,2,0.83980066,9.796848e-07
10,32,32,0.341,0.01,2,0.8327576,9.843677e-07
10,32,32,0.351,0.01,2,1.1721407,9.99529e-07
10,32,32,0.201,0.001,2,117.42616,7.2740676e-08
10,32,32,0.211,0.001,2,186.15575,2.769009e-07
10,32,32,0.221,0.001,2,346.81558,5.429705e-07
10,32,32,0.231,0.001,2,37.868717,2.093053e-08
10,32,32,0.241,0.001,2,53.820717,3.722083e-08
10,32,32,0.251,0.001,2,3.35081e-08,2.12929e-09
10,32,32,0.261,0.001,2,26.449993,9.4435467e-07
10,32,32,0.271,0.001,2,70.70389,1.7861403e-07
10,32,32,0.281,0.001,2,3.5310181e-06,3.5415957e-07
10,32,32,0.291,0.001,2,32.24204,9.08082e-07
10,32,32,0.301,0.001,2,2.8941275e-07,3.9845805e-08
10,32,32,0.311,0.001,2,5.361547e-08,3.4993821e-09
10,32,32,0.321,0.001,2,2.3920086e-07,1.4589688e-08
10,32,32,0.331,0.001,2,1.6320173,9.893564e-07
10,32,32,0.341,0.001,2,2.2888896e-06,1.8677848e-07
10,32,32,0.351,0.001,2,1.4386321e-06,1.1290422e-07
10,32,32,0.201,0.0001,2,407.91858,4.129231e-07
10,32,32,0.211,0.0001,2,3159.4114,9.657088e-07
10,32,32,0.221,0.0001,2,9319.596,5.403637e-07
10,32,32,0.231,0.0001,2,1.2368417e-08,6.2920613e-10
10,32,32,0.241,0.0001,2,370.86536,1.0546739e-07
10,32,32,0.251,0.0001,2,5.409725e-08,5.244094e-09
10,32,32,0.261,0.0001,2,6.851679e-10,7.696695e-11
10,32,32,0.271,0.0001,2,1741.852,8.4332453e-07
10,32,32,0.281,0.0001,2,4.3631898e-10,5.083121e-11
10,32,32,0.291,0.0001,2,336.6879,3.2005553e-07
10,32,32,0.301,0.0001,2,2.3056533e-10,3.6439355e-11
10,32,32,0.311,0.0001,2,2.477641e-10,3.7155768e-11
10,32,32,0.321,0.0001,2,2.7908503e-10,3.774414e-11
10,32,32,0.331,0.0001,2,4.9251325e-10,5.422464e-11
10,32,32,0.341,0.0001,2,1.1199082e-09,1.2278105e-10
10,32,32,0.351,0.0001,2,2.433817e-10,3.2925433e-11
